PC和PLC兼容性通讯协议,,,,,,,,,,,,,,,
,版本,,,,,,,,,,,,,,
,Rev1.10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
通信格式,,,,,,,,,,,,,,,
硬件方式：网口,,协议：MODBUS TCP,,,,,,,,,,,,,
网段：192.168.1.###,,PLC IP:192.168.1.100,,,,,,,,,,,,,
端口号：502,,,,,,,,,,,,,,,
主从站分配:上位机做主站，PLC做从站，地址为:1；,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,相关Modbus地址汇总,,,,,,,,,,,,,,
功能描述,,具体含义,数据类型,长度word,数据类型,,,"Modbus
十进制",精度,备注,,,,,
上位机读数据,,,,,,,,,,,,,,,
交互类,,1#X轴当前位置,寄存器,,DInt,,,2000,1=0.01mm,,,,,,
,,2#X轴当前位置,寄存器,,DInt,,,2002,1=0.01mm,,,,,,
,,旋转轴当前位置,寄存器,,DInt,,,2004,,,,,,,
,,1#X轴初始化完成,线圈,,Bool,,,900,,,,,,,
,,2#X轴初始化完成,线圈,,Bool,,,901,,,,,,,
,,旋转轴初始化完成,线圈,,Bool,,,902,,,,,,,
,,1#轴初始化中,线圈,,Bool,,,1003,,,,,,,
,,2#轴初始化中,线圈,,Bool,,,1103,,,,,,,
,,旋转轴初始化中,线圈,,Bool,,,1203,,,,,,,
,,系统初始化中,线圈,,Bool,,,700,,,,,,,
,,系统初始化完成,线圈,,Bool,,,701,,,,,,,
,,,线圈,,Bool,,,702,,,,,,,
,,,线圈,,Bool,,,709,,,,,,,
,,急停按下,线圈,,Bool,,,710,,,,,,,
,,1#X轴报警,线圈,,Bool,,,711,,,,,,,
,,2#X轴报警,线圈,,Bool,,,712,,,,,,,
,,旋转轴报警,线圈,,Bool,,,713,,,,,,,
,,,线圈,,Bool,,,719,,,,,,,
,,1#X轴动作中,线圈,,Bool,,,720,,,,,,,
,,2#X轴动作中,线圈,,Bool,,,721,,,,,,,
,,旋转轴动作中,线圈,,Bool,,,722,,,,,,,
上位机读写数据,,,,,,,,,,,,,,,
,,1#X轴点动前进,线圈,,Bool,,,1000,,,,,,,
,,1#X轴点动后退,线圈,,Bool,,,1001,,,,,,,
,,1#X轴初始化,线圈,,Bool,,,1002,,,,,,,
,,1#X轴动作,线圈,,Bool,,,1010,,,,,,,
,,2#X轴点动前进,线圈,,Bool,,,1100,,,,,,,
,,2#X轴点动后退,线圈,,Bool,,,1101,,,,,,,
,,2#X轴初始化,线圈,,Bool,,,1102,,,,,,,
,,2#X轴动作,线圈,,Bool,,,1110,,,,,,,
,,旋转轴点动前进,线圈,,Bool,,,1200,,,,,,,
,,旋转轴点动后退,线圈,,Bool,,,1201,,,,,,,
,,旋转轴初始化,线圈,,Bool,,,1202,,,,,,,
,,旋转轴动作,线圈,,Bool,,,1210,,,,,,,
,,,,,,,,,,,,,,,
,,急停,线圈,,Bool,,,249,,,,,,,
,,整机初始化,线圈,,Bool,,,104,,,,,,,
,,,,,,,,,,,,,,,
,,1#X轴动作位置,,,DInt,,,41212,,,,,,,
,,2#X轴动作位置,,,DInt,,,41312,,,,,,,
,,旋转轴动作位置,,,DInt,,,41412,,,,,,,
,,1#X轴点动速度,,,DInt,,,41188,,,,,,,
,,2#X轴点动速度,,,DInt,,,41288,,,,,,,
,,1#X轴动作速度,,,DInt,,,41190,,,,,,,
,,2#X轴动作速度,,,DInt,,,41290,,,,,,,
,,旋转轴动作速度,,,DInt,,,41390,,,,,,,
,,,,,,,,,,,,,,,
PC状态,,视觉心跳信号,,,Int,,,2200,,"视觉写入""0/1""交替;PLC只读（16位）",,,,,
,,反馈心跳信号,,,Int,,,2202,,"PLC写入""0/1""交替;视觉只读（16位）",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
