x_mm,y_mm,z_mm
0.000,500.000,0.000
0.000,499.900,10.004
0.000,499.600,20.005
0.000,499.099,29.997
0.000,498.399,39.978
0.000,497.500,49.942
0.000,496.401,59.886
0.000,495.103,69.807
0.000,493.607,79.699
0.000,491.914,89.560
0.000,490.023,99.384
0.000,487.937,109.169
0.000,485.655,118.910
0.000,483.178,128.604
0.000,480.508,138.246
0.000,477.646,147.833
0.000,474.592,157.360
0.000,471.349,166.825
0.000,467.916,176.223
0.000,464.297,185.550
0.000,460.491,194.803
0.000,456.501,203.977
0.000,452.328,213.071
0.000,447.974,222.079
0.000,443.441,230.998
0.000,438.730,239.824
0.000,433.844,248.555
0.000,428.784,257.185
0.000,423.552,265.713
0.000,418.151,274.135
0.000,412.582,282.447
0.000,406.848,290.646
0.000,400.951,298.728
0.000,394.893,306.691
0.000,388.678,314.531
0.000,382.307,322.245
0.000,375.782,329.830
0.000,369.108,337.283
0.000,362.285,344.600
0.000,355.318,351.780
0.000,348.208,358.819
0.000,340.959,365.715
0.000,333.573,372.464
0.000,326.053,379.064
0.000,318.404,385.512
0.000,310.626,391.805
0.000,302.724,397.942
0.000,294.701,403.920
0.000,286.561,409.735
0.000,278.305,415.387
0.000,269.938,420.872
0.000,261.463,426.189
0.000,252.883,431.336
0.000,244.201,436.309
0.000,235.423,441.108
0.000,226.549,445.730
0.000,217.586,450.174
0.000,208.535,454.437
0.000,199.400,458.519
0.000,190.186,462.417
0.000,180.895,466.130
0.000,171.532,469.656
0.000,162.101,472.994
0.000,152.604,476.143
0.000,143.047,479.101
0.000,133.432,481.867
0.000,123.763,484.441
0.000,114.046,486.820
0.000,104.282,489.004
0.000,94.477,490.993
0.000,84.634,492.785
0.000,74.757,494.380
0.000,64.850,495.777
0.000,54.917,496.975
0.000,44.962,497.974
0.000,34.989,498.774
0.000,25.002,499.374
0.000,15.005,499.775
0.000,5.002,499.975
0.000,-5.002,499.975
0.000,-15.005,499.775
0.000,-25.002,499.374
0.000,-34.989,498.774
0.000,-44.962,497.974
0.000,-54.917,496.975
0.000,-64.850,495.777
0.000,-74.757,494.380
0.000,-84.634,492.785
0.000,-94.477,490.993
0.000,-104.282,489.004
0.000,-114.046,486.820
0.000,-123.763,484.441
0.000,-133.432,481.867
0.000,-143.047,479.101
0.000,-152.604,476.143
0.000,-162.101,472.994
0.000,-171.532,469.656
0.000,-180.895,466.130
0.000,-190.186,462.417
0.000,-199.400,458.519
0.000,-208.535,454.437
0.000,-217.586,450.174
0.000,-226.549,445.730
0.000,-235.423,441.108
0.000,-244.201,436.309
0.000,-252.883,431.336
0.000,-261.463,426.189
0.000,-269.938,420.872
0.000,-278.305,415.387
0.000,-286.561,409.735
0.000,-294.701,403.920
0.000,-302.724,397.942
0.000,-310.626,391.805
0.000,-318.404,385.512
0.000,-326.053,379.064
0.000,-333.573,372.464
0.000,-340.959,365.715
0.000,-348.208,358.819
0.000,-355.318,351.780
0.000,-362.285,344.600
0.000,-369.108,337.283
0.000,-375.782,329.830
0.000,-382.307,322.245
0.000,-388.678,314.531
0.000,-394.893,306.691
0.000,-400.951,298.728
0.000,-406.848,290.646
0.000,-412.582,282.447
0.000,-418.151,274.135
0.000,-423.552,265.713
0.000,-428.784,257.185
0.000,-433.844,248.555
0.000,-438.730,239.824
0.000,-443.441,230.998
0.000,-447.974,222.079
0.000,-452.328,213.071
0.000,-456.501,203.977
0.000,-460.491,194.803
0.000,-464.297,185.550
0.000,-467.916,176.223
0.000,-471.349,166.825
0.000,-474.592,157.360
0.000,-477.646,147.833
0.000,-480.508,138.246
0.000,-483.178,128.604
0.000,-485.655,118.910
0.000,-487.937,109.169
0.000,-490.023,99.384
0.000,-491.914,89.560
0.000,-493.607,79.699
0.000,-495.103,69.807
0.000,-496.401,59.886
0.000,-497.500,49.942
0.000,-498.399,39.978
0.000,-499.099,29.997
0.000,-499.600,20.005
0.000,-499.900,10.004
0.000,-500.000,0.000
10.000,500.000,0.000
10.000,499.900,10.004
10.000,499.600,20.005
10.000,499.099,29.997
10.000,498.399,39.978
10.000,497.500,49.942
10.000,496.401,59.886
10.000,495.103,69.807
10.000,493.607,79.699
10.000,491.914,89.560
10.000,490.023,99.384
10.000,487.937,109.169
10.000,485.655,118.910
10.000,483.178,128.604
10.000,480.508,138.246
10.000,477.646,147.833
10.000,474.592,157.360
10.000,471.349,166.825
10.000,467.916,176.223
10.000,464.297,185.550
10.000,460.491,194.803
10.000,456.501,203.977
10.000,452.328,213.071
10.000,447.974,222.079
10.000,443.441,230.998
10.000,438.730,239.824
10.000,433.844,248.555
10.000,428.784,257.185
10.000,423.552,265.713
10.000,418.151,274.135
10.000,412.582,282.447
10.000,406.848,290.646
10.000,400.951,298.728
10.000,394.893,306.691
10.000,388.678,314.531
10.000,382.307,322.245
10.000,375.782,329.830
10.000,369.108,337.283
10.000,362.285,344.600
10.000,355.318,351.780
10.000,348.208,358.819
10.000,340.959,365.715
10.000,333.573,372.464
10.000,326.053,379.064
10.000,318.404,385.512
10.000,310.626,391.805
10.000,302.724,397.942
10.000,294.701,403.920
10.000,286.561,409.735
10.000,278.305,415.387
10.000,269.938,420.872
10.000,261.463,426.189
10.000,252.883,431.336
10.000,244.201,436.309
10.000,235.423,441.108
10.000,226.549,445.730
10.000,217.586,450.174
10.000,208.535,454.437
10.000,199.400,458.519
10.000,190.186,462.417
10.000,180.895,466.130
10.000,171.532,469.656
10.000,162.101,472.994
10.000,152.604,476.143
10.000,143.047,479.101
10.000,133.432,481.867
10.000,123.763,484.441
10.000,114.046,486.820
10.000,104.282,489.004
10.000,94.477,490.993
10.000,84.634,492.785
10.000,74.757,494.380
10.000,64.850,495.777
10.000,54.917,496.975
10.000,44.962,497.974
10.000,34.989,498.774
10.000,25.002,499.374
10.000,15.005,499.775
10.000,5.002,499.975
10.000,-5.002,499.975
10.000,-15.005,499.775
10.000,-25.002,499.374
10.000,-34.989,498.774
10.000,-44.962,497.974
10.000,-54.917,496.975
10.000,-64.850,495.777
10.000,-74.757,494.380
10.000,-84.634,492.785
10.000,-94.477,490.993
10.000,-104.282,489.004
10.000,-114.046,486.820
10.000,-123.763,484.441
10.000,-133.432,481.867
10.000,-143.047,479.101
10.000,-152.604,476.143
10.000,-162.101,472.994
10.000,-171.532,469.656
10.000,-180.895,466.130
10.000,-190.186,462.417
10.000,-199.400,458.519
10.000,-208.535,454.437
10.000,-217.586,450.174
10.000,-226.549,445.730
10.000,-235.423,441.108
10.000,-244.201,436.309
10.000,-252.883,431.336
10.000,-261.463,426.189
10.000,-269.938,420.872
10.000,-278.305,415.387
10.000,-286.561,409.735
10.000,-294.701,403.920
10.000,-302.724,397.942
10.000,-310.626,391.805
10.000,-318.404,385.512
10.000,-326.053,379.064
10.000,-333.573,372.464
10.000,-340.959,365.715
10.000,-348.208,358.819
10.000,-355.318,351.780
10.000,-362.285,344.600
10.000,-369.108,337.283
10.000,-375.782,329.830
10.000,-382.307,322.245
10.000,-388.678,314.531
10.000,-394.893,306.691
10.000,-400.951,298.728
10.000,-406.848,290.646
10.000,-412.582,282.447
10.000,-418.151,274.135
10.000,-423.552,265.713
10.000,-428.784,257.185
10.000,-433.844,248.555
10.000,-438.730,239.824
10.000,-443.441,230.998
10.000,-447.974,222.079
10.000,-452.328,213.071
10.000,-456.501,203.977
10.000,-460.491,194.803
10.000,-464.297,185.550
10.000,-467.916,176.223
10.000,-471.349,166.825
10.000,-474.592,157.360
10.000,-477.646,147.833
10.000,-480.508,138.246
10.000,-483.178,128.604
10.000,-485.655,118.910
10.000,-487.937,109.169
10.000,-490.023,99.384
10.000,-491.914,89.560
10.000,-493.607,79.699
10.000,-495.103,69.807
10.000,-496.401,59.886
10.000,-497.500,49.942
10.000,-498.399,39.978
10.000,-499.099,29.997
10.000,-499.600,20.005
10.000,-499.900,10.004
10.000,-500.000,0.000
20.000,500.000,0.000
20.000,499.900,10.004
20.000,499.600,20.005
20.000,499.099,29.997
20.000,498.399,39.978
20.000,497.500,49.942
20.000,496.401,59.886
20.000,495.103,69.807
20.000,493.607,79.699
20.000,491.914,89.560
20.000,490.023,99.384
20.000,487.937,109.169
20.000,485.655,118.910
20.000,483.178,128.604
20.000,480.508,138.246
20.000,477.646,147.833
20.000,474.592,157.360
20.000,471.349,166.825
20.000,467.916,176.223
20.000,464.297,185.550
20.000,460.491,194.803
20.000,456.501,203.977
20.000,452.328,213.071
20.000,447.974,222.079
20.000,443.441,230.998
20.000,438.730,239.824
20.000,433.844,248.555
20.000,428.784,257.185
20.000,423.552,265.713
20.000,418.151,274.135
20.000,412.582,282.447
20.000,406.848,290.646
20.000,400.951,298.728
20.000,394.893,306.691
